file_id	case_id
40d8ec31-60e2-4c0b-ae9b-c5910e2cebba	TCGA-HD-A634
c3afcb4c-394b-4876-aa92-00500e9bf740	TCGA-T2-A6WX
cf40df1f-3037-405b-b652-ff6a6f9d9085	TCGA-CN-5355
7ed2198a-102d-42e2-8cf0-d8dfbdf34632	TCGA-BA-5557
55ffd417-0e61-4fe5-9ba4-54ae15c8330a	TCGA-CQ-6229
b74fe897-74ee-4c1e-87bd-4e18dd64284e	TCGA-CV-7263
3492bb67-a7c8-4246-9689-4b36ce0efb1a	TCGA-CV-5443
b4d80398-c339-407b-94d3-57afa590e16d	TCGA-F7-A620
a29de7d1-6d29-417a-8fad-2cb57a8f7db8	TCGA-CQ-7063
aed9e1a3-8037-40a6-9ced-64e414467718	TCGA-QK-A6II
bdc3e015-b191-47d1-b419-ba19f694215e	TCGA-CQ-A4CI
0295ea9f-3c48-400e-8004-05ca911f460d	TCGA-CQ-A4CE
e4a520c9-91a8-46ec-89a5-1707d24c125d	TCGA-CN-6011
9826930c-b7bd-49ba-b824-1f940e207f4b	TCGA-IQ-A61J
34b7ac84-d020-4841-98d5-fc86aa7798de	TCGA-CX-7219
b6a38e2a-0044-4d7c-a223-1bf169d4e088	TCGA-CV-6933
530aeb2b-2b87-4894-9853-8120649ccbf8	TCGA-CN-5359
5bd3d1ea-675e-4e41-96b3-d2da8a644879	TCGA-CN-6997
524b91bd-e61c-475a-9217-3ccd76688a0d	TCGA-BA-4074
c5976308-8c60-4f51-8e86-3b586f137f23	TCGA-CR-7392
15b120ca-b99c-43f9-b836-529583c50fe9	TCGA-HD-7753
2448d8d4-198b-42b9-a822-f4fb071de2e7	TCGA-CN-6020
ec391e89-3ffa-4e8f-ba46-7ea7a95dcd7b	TCGA-CN-5369
a162c257-2c4e-479a-bdff-1361ffc1a7fd	TCGA-CV-7099
53a868c3-12fe-429b-910a-04321ff14d9a	TCGA-BB-4227
c778256b-62cc-4642-886f-f2950526f374	TCGA-CV-A45Q
f8eaf87f-8ab3-4d10-954e-eb4e4a4e0b82	TCGA-CN-6994
1a225cd0-4aff-4a21-a38f-4c7219da6daf	TCGA-BA-5559
29b722ad-3c3a-493a-96d2-daeb00763881	TCGA-CV-7421
df5d5bb6-d9cc-43bd-b03c-9721060f1ad7	TCGA-DQ-7593
ecffbb22-a57d-4250-937c-d8a73a93d97e	TCGA-CN-6024
de34e402-4e33-4beb-8c84-34f6b0288d9e	TCGA-BA-A4IG
1ba64243-b3c1-4b6b-9899-64944a3da9ab	TCGA-HD-7917
25a938ba-21c3-4053-b5e0-f1bbb2eca3df	TCGA-CV-6945
7cf94274-b64d-4b56-8cd6-19029fe52031	TCGA-CQ-7071
9eda745e-b182-4611-a4a6-242db8a07337	TCGA-D6-A4ZB
ae941efc-1bb6-441b-aea2-694b1aa4081a	TCGA-CN-A6V1
4f74695e-ef5a-49c1-a813-6d65f223d7e5	TCGA-CV-5976
10d2df0b-08ca-4eff-9e42-b23620a214fe	TCGA-CN-4742
7ad79b6a-5f2b-4315-ae69-25439113193f	TCGA-CN-A6V6
3934d67f-58f0-432d-8c12-72346d31a753	TCGA-QK-AA3J
d1ba03b4-c63c-4be6-a723-6d87749e4b61	TCGA-DQ-7595
d33b5123-4cc3-4731-84ea-88ca8ad90943	TCGA-CN-6022
e0b6e092-202f-45a0-a8f9-1de9f04fb04e	TCGA-UF-A7JK
a1157282-ef7c-48bf-8bbf-79f51799b7d4	TCGA-CN-5356
aea89671-83a4-47b7-a924-07e23f3019e9	TCGA-CQ-5323
2399c612-2197-4e5b-8b3a-7c9927da9ea6	TCGA-CV-7425
c87e7072-34b2-4aab-bfb8-0fd61d926fb0	TCGA-D6-6515
5707cde1-035e-4661-b85d-c459e98297c2	TCGA-CV-7253
0d765c4d-33a1-41db-bfcf-2119c521dd45	TCGA-CN-5360
465b74a3-2a01-425e-8c1f-45c8ee19f51c	TCGA-MT-A7BN
6a299d04-3ed3-432e-b6e5-4e4f4d3dfb6d	TCGA-CN-4734
a4696acf-2913-4bc7-a20a-7851025c8462	TCGA-CN-A641
f67853ac-b2db-4782-96f3-1d0338fac60d	TCGA-CV-7252
1878cff8-f627-4ea6-bf0e-13161fcd4564	TCGA-CN-5365
