ANLN_ENSG00000011426.11	ENO1_ENSG00000074800.16	CDKN3_ENSG00000100526.20	PGK1_ENSG00000102144.15	CA9_ENSG00000107159.13	TPI1_ENSG00000111669.15	VEGFA_ENSG00000112715.25	SDC1_ENSG00000115884.11	SLC2A1_ENSG00000117394.24	P4HA1_ENSG00000122884.12	GNAI1_ENSG00000127955.17	KRT17_ENSG00000128422.17	LDHA_ENSG00000134333.14	ALDOA_ENSG00000149925.22	SLC16A1_ENSG00000155380.12	DCBLD1_ENSG00000164465.19	ANGPTL4_ENSG00000167772.12	FAM83B_ENSG00000168143.9	BNC1_ENSG00000169594.13	PGAM1_ENSG00000171314.9	FOSL1_ENSG00000175592.9	COL4A6_ENSG00000197565.16	KCTD11_ENSG00000213859.7	file_id
112.7554	2235.4478	53.6738	699.3457	99.3388	1087.4377	53.8406	1422.0345	313.766	67.4373	33.1244	3839.7433	658.9226	8.338	107.886	21.81	20.7896	59.4481	123.5429	98.0617	247.9192	12.1417	49.1358	77ba1bb5-9f5b-4db1-a911-19f07adaa0e5
21.7497	1532.5592	29.4804	384.3696	45.9176	1040.2163	33.8438	1485.8614	796.2737	199.2177	12.9084	9111.4614	393.3677	4.6752	94.9767	10.5274	53.7716	11.3713	36.0009	103.842	35.8066	14.0717	84.7898	29b722ad-3c3a-493a-96d2-daeb00763881
38.1392	855.3874	32.5943	257.5874	13.7	623.0698	24.6261	431.4625	127.5716	25.8285	4.2949	791.1355	340.0158	4.8682	18.3523	5.5169	26.1353	12.8796	7.4922	56.4417	52.9069	0.2712	48.1316	df5d5bb6-d9cc-43bd-b03c-9721060f1ad7
70.7531	1410.5214	29.8103	1271.8952	504.8699	2484.1	47.6944	685.1341	826.9391	167.2516	14.6187	8013.1386	850.9897	7.3593	197.89	13.3011	82.4342	41.6903	48.6239	113.8999	327.3428	32.7302	82.4993	ecffbb22-a57d-4250-937c-d8a73a93d97e
65.1066	2274.5075	77.2619	787.8456	57.9428	1324.4376	31.1067	935.7668	649.0817	48.9587	12.5849	3910.1899	748.571	15.1106	236.2921	9.0895	27.8913	45.6815	104.95	97.478	289.2409	3.1883	53.4469	de34e402-4e33-4beb-8c84-34f6b0288d9e
61.1371	1401.3919	39.6905	728.0893	150.665	1166.3641	68.2256	827.2941	384.4603	39.387	6.8049	11272.2797	659.6058	5.5682	130.6203	15.5399	26.5288	82.5102	110.2976	172.5973	191.5992	56.7502	69.9918	1ba64243-b3c1-4b6b-9899-64944a3da9ab
27.0786	1373.0565	25.2487	398.7667	136.3225	1530.4609	46.5683	1745.7121	545.1028	154.6654	7.4915	22450.4533	482.3054	8.3865	76.5748	27.1985	164.9022	14.3465	71.9092	80.3411	228.6453	6.2834	177.4203	25a938ba-21c3-4053-b5e0-f1bbb2eca3df
34.0041	1255.9117	21.672	472.5359	74.8254	845.3874	31.1777	971.2269	699.8573	59.209	12.2779	14480.1629	927.8694	7.8959	161.7127	15.3172	46.2204	38.3244	82.5855	131.0865	217.4075	7.544	86.6246	7cf94274-b64d-4b56-8cd6-19029fe52031
22.8884	1403.8372	24.0678	311.3398	27.1707	962.7811	32.9528	1379.7336	839.8553	54.6388	10.1859	8636.6022	390.2088	8.8273	48.4227	16.2475	107.8999	24.1027	70.2221	101.777	85.5996	4.6303	139.5199	9eda745e-b182-4611-a4a6-242db8a07337
11.5326	1020.6279	34.2976	194.7864	16.9943	682.4632	9.6327	672.5422	166.2212	28.4056	2.2281	273.257	271.5895	11.6932	11.2571	2.6044	76.4541	1.3921	16.8753	51.7987	11.1346	0.0539	22.5903	ae941efc-1bb6-441b-aea2-694b1aa4081a
24.0583	1922.4401	25.7245	397.3054	20.6768	926.9281	25.8546	1775.3643	603.4681	44.8668	10.9083	15674.4304	921.5382	8.2089	115.9561	83.8821	32.4499	42.5194	96.9261	150.0569	180.164	31.313	67.4396	4f74695e-ef5a-49c1-a813-6d65f223d7e5
15.2704	650.1583	11.2565	177.0523	0.1648	473.1135	4.1082	419.5601	54.292	12.1322	4.0962	2082.6263	346.762	7.8108	22.7182	3.2639	6.5571	17.9285	16.8259	58.3121	7.9509	1.0383	37.997	2f940d2e-7aca-4897-8a52-2eed03d5b002
39.7147	1364.5042	17.5789	296.944	0.7615	530.9164	14.2675	2026.4405	571.9782	47.0131	9.4237	7693.3996	476.469	5.4823	152.9164	18.6437	24.1016	37.3172	73.11	121.6943	181.9536	19.0065	39.8261	10d2df0b-08ca-4eff-9e42-b23620a214fe
36.5137	1348.8214	25.554	308.8039	3.1261	816.3125	14.3187	812.4688	125.0712	32.1353	3.4883	1490.2128	300.6713	12.0542	35.1789	7.3383	30.8966	11.4051	33.4996	50.6763	75.3974	0.3857	33.8951	7ad79b6a-5f2b-4315-ae69-25439113193f
38.6686	1060.2174	29.4681	219.493	0.9317	609.0209	28.424	1756.1976	205.3509	34.2668	14.8498	1537.756	172.7491	5.9418	29.2793	8.0319	18.3624	18.3606	148.8702	40.5694	49.1682	3.8381	31.7764	3934d67f-58f0-432d-8c12-72346d31a753
73.5578	1350.5191	28.0997	327.5893	1.3668	905.8196	10.8172	1558.3285	241.9745	40.0542	7.1436	1786.6471	371.4411	5.9514	73.8591	8.6938	35.5671	37.0608	31.6628	106.225	20.6891	37.4803	26.1366	d1ba03b4-c63c-4be6-a723-6d87749e4b61
70.7207	2716.0739	23.2513	427.7476	286.0357	1435.028	74.9313	1235.2373	938.625	189.0445	5.5746	3891.3204	864.5464	14.9159	224.2938	96.011	231.1784	34.2775	61.8076	167.3043	151.3675	4.1253	129.8061	d33b5123-4cc3-4731-84ea-88ca8ad90943
38.9611	1724.8314	32.5396	318.924	30.2342	1775.9774	109.5254	2796.1709	1461.8087	137.7628	9.4015	4900.5992	716.7404	18.8243	130.0783	44.2908	16.6135	52.9792	147.6966	178.1356	87.6743	24.1213	197.1289	e0b6e092-202f-45a0-a8f9-1de9f04fb04e
57.0657	943.5118	15.0086	454.4919	41.9998	581.9112	54.3767	2339.8845	396.812	45.2174	10.8229	11002.1561	460.8075	3.8761	180.6008	13.3637	19.6889	174.7454	409.8955	84.6009	162.4768	30.3331	41.8575	a1157282-ef7c-48bf-8bbf-79f51799b7d4
64.1111	1880.3601	28.4365	396.2694	33.4848	822.6897	20.4317	984.2468	339.6658	17.9922	9.7631	10557.4954	851.8302	9.0303	125.4725	14.4047	40.0695	67.1814	108.542	127.0879	83.9153	4.8186	39.4879	aea89671-83a4-47b7-a924-07e23f3019e9
30.2039	867.6284	12.3589	805.8468	37.4897	859.9739	8.3704	1170.7105	469.8845	29.8194	14.4356	17161.0915	1084.6302	3.4348	249.1144	18.0535	27.4358	55.487	115.0682	144.6019	66.0172	22.3482	141.1499	2399c612-2197-4e5b-8b3a-7c9927da9ea6
53.72	1641.9174	23.1032	324.3581	17.4947	812.3608	9.398	706.9052	307.3716	61.9369	6.54	2272.8484	602.4691	6.7059	120.7892	14.9236	59.4503	23.1215	56.9227	132.6073	19.7106	11.6416	34.659	c87e7072-34b2-4aab-bfb8-0fd61d926fb0
44.2095	2662.3712	23.2107	1109.6772	338.1864	1467.4325	84.3939	8538.7102	2835.622	175.9894	18.8293	17437.5928	589.2647	11.1758	208.1969	7.828	14.7123	85.1767	189.7752	226.1122	330.7452	40.8094	60.2286	5707cde1-035e-4661-b85d-c459e98297c2
28.5298	603.196	15.9676	267.7959	8.6675	584.0921	26.4047	1574.7186	297.0495	57.5359	16.0829	4392.4821	276.9472	5.2716	43.6048	6.7559	29.46	66.1499	80.7846	59.0882	38.2397	26.1328	29.4982	0d765c4d-33a1-41db-bfcf-2119c521dd45
5.8218	2466.296	17.984	404.1006	185.3109	1247.5724	55.488	397.9146	42.475	298.1789	0.5892	203.0137	284.077	7.7987	12.6353	3.2149	384.4068	0.3034	0.6773	22.3761	43.984	0.2235	14.0813	465b74a3-2a01-425e-8c1f-45c8ee19f51c
49.6903	2627.3192	41.7298	773.3791	195.1836	1716.1035	17.7855	1207.8237	626.0768	73.0737	9.3828	15633.0716	1389.2164	8.7365	90.3783	25.4701	45.3657	57.4285	146.235	208.4908	165.696	4.4701	134.2868	6a299d04-3ed3-432e-b6e5-4e4f4d3dfb6d
36.9915	863.2486	17.5666	197.2168	3.4741	710.3322	49.3922	799.1897	409.212	9.2705	13.2326	9271.6577	429.832	4.1717	93.9237	6.0866	6.7713	23.6878	37.0079	72.2861	133.2422	11.9617	22.6213	a4696acf-2913-4bc7-a20a-7851025c8462
79.6825	2197.4462	27.5286	512.9601	75.246	880.9689	79.0846	2280.1331	1225.3048	93.0556	13.4168	19854.7737	1211.4622	11.9538	186.0692	23.6787	58.3836	44.9163	111.156	147.1986	240.3116	27.023	150.9498	f67853ac-b2db-4782-96f3-1d0338fac60d
58.6197	2058.1588	39.9175	568.4458	177.8655	526.2877	20.3272	1408.8491	778.1723	51.1806	13.3632	24609.7983	769.623	5.7458	83.8703	26.8795	54.5804	29.0481	86.7966	181.4166	174.1181	1.2279	175.0723	1878cff8-f627-4ea6-bf0e-13161fcd4564
33.5947	2122.0061	23.5366	502.6487	50.8202	1044.8026	15.9876	837.4226	650.1359	171.9989	7.7157	11696.368	800.7804	9.269	217.3362	38.7909	6.9455	16.3319	71.3138	191.1417	73.7187	23.6426	68.6252	bf7e3880-e49d-412a-99bb-0f17456bd692
28.6243	1028.9676	29.529	207.4973	3.1263	747.5726	20.3129	349.3752	98.6987	36.4719	1.0265	15.7959	236.3468	5.6818	58.8651	4.2645	10.1033	21.2037	0.2531	55.3833	13.5502	0.1587	8.9483	4dafb507-f3cc-4f37-9c69-7ba0f3df1ee8
26.8241	1424.0934	19.6837	331.6858	58.2227	936.1049	12.0197	1403.9844	400.685	39.9991	14.176	5545.477	748.3824	15.7196	111.6922	120.0855	21.6482	34.6363	164.5637	125.7969	93.6232	15.7367	31.6038	524edfcc-daef-49b0-88a7-28832e4adf10
43.5535	1117.9591	21.7521	632.7532	18.9085	871.4841	62.5856	1300.3658	372.656	144.4618	13.8739	3316.3321	382.7513	6.378	70.5888	18.5496	21.646	198.244	73.5668	116.7734	226.9071	13.3501	131.4577	6911eac4-95c9-46c4-ad67-59c29bd85aa0
44.7626	3259.8725	40.5145	1044.7444	131.3386	1949.4893	155.919	986.9646	1467.9147	361.8198	7.4972	10557.8986	1199.7757	12.9753	204.389	4.4792	82.4979	56.0276	56.9698	97.8659	124.0374	28.8547	61.8253	409790bc-30ef-4f2f-9025-52d0c1864a04
45.0334	1958.9386	40.4985	456.8688	74.4325	986.5589	23.5092	1261.7922	942.6264	45.7043	11.6028	24113.7925	957.0394	11.0635	116.9276	8.4283	71.3062	45.6052	144.0928	150.3073	451.0052	10.5312	175.7553	1f715b37-49a7-4b68-8787-10c28dc71039
81.6335	1957.8445	32.6299	464.7765	65.0007	1071.9184	67.4693	1753.7437	858.6902	31.4673	11.012	21472.552	877.5005	23.6354	87.4786	22.618	20.49	57.2612	150.421	157.1803	392.5075	21.5207	115.0592	4f0f7051-4e3d-4749-b50a-c85f7dabe7c0
22.1015	1792.743	22.3439	362.2669	7.0042	704.1659	16.6584	977.7984	333.8191	46.7109	9.2896	4049.3613	442.0185	9.2724	56.4872	12.4149	42.7939	52.9068	47.6928	105.3335	58.2632	7.4974	53.5003	22c1ef89-458e-4753-b55b-140c0a3993bc
32.0021	1111.9615	23.1148	308.7451	3.802	562.3964	9.1613	818.9143	478.133	23.7192	10.993	27028.8926	556.8713	8.9945	139.4886	23.0789	9.7365	30.2874	69.2218	101.7332	265.8847	23.2066	46.8624	7eb3d86e-0bd6-4f3d-b4fe-c4702b46ac5e
11.7021	1001.1844	6.2891	226.0972	0.5902	559.6108	13.6536	767.5888	150.4433	17.3194	5.1806	1882.2899	414.2316	12.2691	38.2629	3.0465	50.2115	27.8066	32.7348	85.7098	378.7169	0.534	76.1549	5dbdee96-ea4e-4a0c-8ebe-55a99be125d7
56.8881	990.821	20.6134	301.5809	2.5627	1828.0889	78.6468	1940.4281	569.6805	70.6993	13.8219	1815.5144	400.7931	8.468	20.626	18.0259	38.4914	36.9404	54.2888	134.976	40.601	0.7185	98.9674	116d6aa9-7b48-493d-88b0-d620d0fb1da4
47.4754	1596.8214	19.4726	381.5574	125.4694	762.1711	11.5097	1234.6687	666.7992	42.6234	10.8451	15419.5958	1023.0106	15.343	176.7247	21.2176	19.1097	43.6291	121.6265	140.9745	157.6391	14.2132	82.7145	650cd049-8ee7-4191-be99-e8c6740cbf80
8.1626	1700.3844	8.9064	215.7514	7.4879	1250.9548	11.8523	1195.0728	302.954	30.0209	7.4418	20935.7415	419.3965	4.7649	62.4524	4.8346	43.954	4.8588	23.9265	44.6302	135.5577	2.4981	42.4969	6435d2fd-7a46-423a-a3ad-7ab469234196
128.7751	1970.4596	42.649	403.0798	31.328	611.4278	34.4619	1793.2023	954.3516	112.8219	14.5782	6242.6575	462.4835	6.5097	238.8305	7.2407	20.7196	115.0331	112.2642	69.8183	99.6113	1.335	38.2082	dfe94936-7310-488f-87bf-22e6a7b3078f
70.3308	2108.081	34.0778	602.1876	43.6413	1145.8949	13.8109	1061.9937	1413.2584	81.3677	11.3764	14569.8017	956.0106	9.0804	324.4044	14.4425	24.438	100.353	157.0147	162.2374	268.2728	25.4653	56.7888	13b83e88-3035-4c10-bc05-a6bdf2f04fd0
22.9772	991.2909	25.0171	243.2274	37.029	672.309	16.6277	1145.8471	452.9158	29.931	4.4737	8776.9749	600.0121	4.6066	86.2823	11.4681	119.8762	7.3724	39.8683	84.8166	228.2271	4.6848	42.3707	c9243cb6-96c1-4f80-bd43-cd62004ccd7f
26.0597	1579.8593	19.3821	218.3763	0.0738	951.2984	16.0942	1136.3147	163.6699	16.299	1.9368	752.3129	160.247	4.5694	44.2605	4.1749	9.7531	3.6	16.2281	74.8604	10.9064	0.5879	26.6853	509ac1c1-9c94-4b12-a1a2-599bc2769435
66.0352	2662.6938	33.7634	420.5983	80.8371	1105.7578	18.2346	1576.5378	1032.4632	89.6293	8.7519	9343.7573	1353.311	14.2568	195.8514	44.8617	78.1484	41.5816	97.7515	184.7997	178.6936	41.7949	118.3109	1f34ef35-95b0-4470-a17a-d7ccc0fb97e6
43.5504	1868.0688	26.9361	334.439	30.0853	631.381	8.0635	578.428	562.5537	37.4823	14.4857	7547.7762	666.0583	6.8518	220.7554	21.4572	28.4924	78.5045	141.8651	111.668	505.7754	15.2527	50.0644	7c415019-de42-47b3-b2d9-31190418e857
59.2982	1964.4228	35.1999	538.4558	546.5397	1077.6845	60.6391	1072.4605	889.8288	58.6248	10.6053	7551.4872	1403.5718	13.7204	192.3205	35.2672	222.0359	30.5018	160.8957	146.0781	222.088	18.8116	210.4604	06c46190-b2e2-4c28-9dd8-ec9df9b3faac
72.004	2202.0565	54.1598	362.8224	122.4555	1230.5866	33.5865	1829.5394	907.849	79.1242	10.7577	5629.7192	728.7119	10.5089	165.6363	19.4638	58.6194	41.7701	90.7714	207.1888	262.624	22.1446	258.1931	d8251860-ff31-4639-9dcf-88b4d44d18ce
24.8685	1219.1664	12.4698	277.3939	1.2866	598.8752	4.2434	1032.2489	132.7337	12.857	4.4202	3332.5068	396.405	4.7306	39.7749	10.214	20.3953	29.5909	30.6711	100.0728	52.2343	1.2679	42.7537	d1633c45-ff9d-4fdb-bf27-28fedf653eb1
48.761	1035.8115	39.7925	551.6827	165.2068	952.1371	70.4895	2077.1588	847.2247	89.0002	6.8319	8427.5688	724.6107	9.0375	50.2704	7.3062	23.5743	26.7046	49.944	76.0407	228.173	4.7503	50.6481	d64c5014-7755-4439-a871-5e3648473446
35.7978	1295.8293	25.3024	253.8922	1.8703	541.5986	59.8687	831.2587	197.4783	21.0397	5.7264	6364.4931	273.798	3.1083	37.1639	15.9712	42.5294	25.2508	41.2085	72.9311	45.1001	0.1655	34.36	35fd23d8-0dba-4a74-8c5a-cbebfc7e460e
50.563	618.3555	17.346	321.3903	2.3483	922.5668	7.9191	1765.966	332.9123	44.5264	4.8476	178.6639	273.9544	15.1834	55.0487	8.0034	14.1918	21.4288	25.6162	118.3426	16.0843	0.7062	15.9699	a2b8d498-f21a-4718-8661-1cd9535ac2e5
19.8128	905.9471	7.3488	287.3748	0.5226	573.4658	7.7611	964.7293	115.1068	12.7697	4.2997	810.0792	378.889	10.1689	27.0247	4.0189	19.5046	42.2825	24.0686	110.669	165.3202	0.7042	67.0966	bb7388dc-7ad7-4489-a21e-9058500f8243
51.2388	975.6507	18.8801	275.2133	3.1381	604.1704	22.9501	693.2343	240.4478	33.5506	5.1783	2017.1526	182.8816	5.6037	30.5317	6.2931	21.3452	30.4632	76.5375	64.1589	76.8043	10.4094	34.3157	e0cab7b0-d7c8-4f47-950f-ede1ed50e797
23.7936	1427.2995	24.511	263.7472	3.9381	681.8981	95.1915	1123.2288	455.1466	66.4974	10.924	11076.4903	369.4006	5.4245	51.1014	25.0114	56.4586	13.468	53.142	97.8946	472.9894	15.0453	76.3369	1c9c9ad2-892d-4b36-82e9-51d465e9b68a
37.3434	1812.3351	20.3821	394.5515	22.8024	815.235	6.2533	1302.213	537.2231	60.6819	10.1435	12311.1372	811.7328	8.7413	124.49	18.7643	23.3606	35.7638	60.7014	204.4993	45.1747	12.6145	65.961	0508b025-15b5-4012-b1b1-530d329eeec9
151.1396	4804.4626	108.1758	783.9593	96.0315	1447.6278	38.2525	1443.3622	1432.8697	87.3691	6.6744	17194.2753	2028.3331	18.3237	290.2518	13.1291	111.853	31.8388	149.8312	198.3579	466.5013	3.4613	54.3942	c04eb652-77ed-4acc-8303-38d623e3cd28
97.0323	1830.2317	28.9385	308.9156	64.2198	744.216	24.593	1041.0431	331.4474	36.5399	10.2295	7466.161	908.2709	10.4136	184.5455	60.8135	39.8968	32.2307	108.1464	121.4471	218.4679	9.6971	75.1448	34738236-8107-4968-a889-5a3628d82ebc
