case_id,CD4_ENSG00000010610.10,TBX21_ENSG00000073861.3,LAG3_ENSG00000089692.9,ICAM1_ENSG00000090339.9,IFNG_ENSG00000111537.5,STAT1_ENSG00000115415.20,GNLY_ENSG00000115523.17,IL18RAP_ENSG00000115607.9,CD274_ENSG00000120217.14,CD80_ENSG00000121594.12,IRF1_ENSG00000125347.14,CXCL9_ENSG00000138755.6,CTLA4_ENSG00000163599.17,ICOS_ENSG00000163600.13,CXCL10_ENSG00000169245.6,HLA-DQA1_ENSG00000196735.13,PDCD1LG2_ENSG00000197646.8,HLA-DRB5_ENSG00000198502.6,CD247_ENSG00000198821.11,HLA-DOA_ENSG00000204252.14,HLA-DMA_ENSG00000204257.15,HLA-DRA_ENSG00000204287.14,HLA-DPB1_ENSG00000223865.11,HLA-DPA1_ENSG00000231389.7,HLA-DQA2_ENSG00000237541.4,HLA-DMB_ENSG00000242574.9,CCL5_ENSG00000271503.6,file_id
TCGA-D6-6517,34.0079,0.4577,3.8839,106.6024,0.1587,89.1827,1.7979,0.3564,8.8668,1.69,13.6538,11.1737,7.1856,7.4548,18.1583,52.4035,7.3108,146.4301,3.3593,11.2692,37.3563,1212.8996,71.8141,104.4514,21.9835,11.0629,19.9076,1f34ef35-95b0-4470-a17a-d7ccc0fb97e6
TCGA-DQ-5625,57.7969,2.7911,42.5724,111.2753,9.9648,539.0353,108.8934,4.1412,61.0848,2.5318,104.0248,1170.1231,9.6164,6.7596,3627.0824,74.0497,19.4489,287.9787,7.8658,17.1467,81.8557,4701.51,138.0228,192.8074,118.09,26.5565,609.1608,7c415019-de42-47b3-b2d9-31190418e857
TCGA-IQ-7630,20.119,0.3706,8.0043,34.7995,0.8034,254.3659,30.9105,0.8278,9.1234,1.3698,23.5033,15.6215,6.3213,4.9498,114.1435,27.347,5.41,142.2815,3.8702,5.194,35.2054,888.0463,53.1766,76.8984,43.881,9.6612,58.2573,06c46190-b2e2-4c28-9dd8-ec9df9b3faac
TCGA-CV-7095,16.3194,0.3478,2.8264,67.6172,0.3479,231.7396,7.6746,0.071,5.9489,1.0491,16.1611,83.1956,2.2971,1.789,63.6499,28.812,1.4149,79.7184,0.8878,6.1294,22.0983,691.6285,50.1601,64.6653,39.2061,6.3176,38.3211,d8251860-ff31-4639-9dcf-88b4d44d18ce
TCGA-CV-7438,21.6901,1.1559,3.2043,12.8532,0.6833,124.4471,7.3026,0.496,2.5516,0.3863,12.9916,61.5582,1.3749,2.9716,70.5441,55.2638,2.3251,340.2371,5.7438,21.7585,42.5068,1256.2386,80.4308,118.9236,12.455,9.1488,75.7221,d1633c45-ff9d-4fdb-bf27-28fedf653eb1
TCGA-CQ-6225,6.608,0.1048,2.3697,14.1569,0.0,87.3328,1.9856,0.0155,0.4017,0.2853,5.5392,0.7636,0.2784,0.0697,2.5745,3.3295,0.2073,46.3838,9.7371,0.8277,8.9121,123.5375,9.1106,13.2685,9.1479,1.2618,8.1944,d64c5014-7755-4439-a871-5e3648473446
TCGA-CR-5250,38.4321,0.9994,4.8368,166.892,0.3699,80.3615,5.5861,1.0355,7.0405,1.0754,23.2407,75.5294,6.5184,8.2722,123.4014,40.5328,2.4206,79.9081,8.7559,7.2542,39.9925,918.9264,59.4909,78.1147,25.5425,27.1876,129.1284,35fd23d8-0dba-4a74-8c5a-cbebfc7e460e
TCGA-CR-6472,10.4752,0.6243,3.1707,20.5599,0.5295,25.7349,6.8277,0.3603,2.1159,0.1774,14.2988,82.5234,2.1307,2.2756,29.7114,15.8269,1.8456,20.4621,3.2497,4.4674,13.7122,323.9896,25.2952,30.3183,5.0332,3.1353,50.4764,a2b8d498-f21a-4718-8661-1cd9535ac2e5
TCGA-CN-4739,24.7363,1.5545,6.8775,59.2763,0.7609,52.7077,17.0357,3.4913,3.0975,0.956,15.2711,23.7111,4.5108,2.3524,13.817,29.9045,2.2372,79.3318,6.3522,12.381,30.7844,725.8245,57.2047,77.3823,42.6744,11.7376,83.1022,e0cab7b0-d7c8-4f47-950f-ede1ed50e797
TCGA-F7-A50I,9.1158,2.0585,4.31,140.3854,0.9064,138.5567,19.3138,0.9394,20.7792,1.6555,18.1717,223.5109,5.7998,2.0225,554.952,16.9158,7.3947,199.3271,3.3488,6.6919,44.4943,1090.8292,76.2508,86.2975,106.7272,9.1149,52.2701,1c9c9ad2-892d-4b36-82e9-51d465e9b68a
TCGA-CR-7401,22.4807,0.4206,2.0536,25.4139,0.1919,154.7091,4.2718,0.3918,3.0978,1.067,10.0408,35.1679,4.2088,3.6677,38.6728,18.649,5.9733,219.1372,2.7225,9.8377,29.7919,987.7908,65.4745,103.1247,101.3504,8.2886,88.4607,0508b025-15b5-4012-b1b1-530d329eeec9
TCGA-DQ-7588,0.5713,0.1935,0.935,23.6631,0.2622,44.4592,0.1667,0.0856,1.5147,0.079,9.3878,0.8509,0.178,0.0724,0.2162,1.0332,2.0103,1.5239,0.1889,0.1274,1.4362,20.3652,1.3983,1.6238,1.0452,0.1376,30.5824,c04eb652-77ed-4acc-8303-38d623e3cd28
TCGA-CQ-7068,56.1784,7.9917,82.1755,84.5889,11.2411,639.1124,159.552,4.093,98.6216,2.3714,134.1374,1314.6252,15.9979,11.3757,6321.398,223.967,27.841,1828.8898,13.3975,34.1051,200.0743,5775.476,231.8731,493.1353,132.7697,43.1859,579.6141,34738236-8107-4968-a889-5a3628d82ebc
TCGA-IQ-A61E,9.4782,0.8741,12.0135,148.9698,1.3375,258.8774,69.4588,3.2538,16.9705,1.3653,18.8979,163.867,11.2584,6.954,721.0545,31.5916,15.6232,278.4267,6.3071,7.5663,41.9119,1376.7682,68.4698,127.0617,0.972,9.5972,378.6778,2a82e572-e911-4103-b01a-8a5fc8dcc8a6
TCGA-BB-4224,11.2077,1.0107,4.2028,4.6868,0.5975,53.8127,4.0173,0.2236,2.2458,0.4692,9.6054,17.7993,1.2398,0.4586,51.6265,14.604,1.8844,54.8483,0.5232,5.4749,26.5126,597.3224,31.9741,54.5191,33.8305,8.9671,23.2911,98d3da9f-bc4a-4ff0-ac57-fe62cf8f6c41
TCGA-CV-5439,14.1661,0.7903,3.5939,34.0472,1.8642,300.6333,4.9061,0.5143,8.0652,0.6077,59.0077,46.8504,3.7066,2.9232,124.0572,66.3791,5.4443,583.9473,2.7528,23.5524,112.8069,3623.7801,156.4659,281.1002,100.2286,24.1921,68.3021,32d7d3ba-a8b4-413d-9cc7-d907daf8b407
TCGA-CV-5431,57.596,2.5241,24.7674,225.9739,7.4923,120.2941,33.4604,2.7169,11.857,4.9232,26.3387,235.3732,11.6037,8.6247,74.3227,148.8091,9.5232,187.2892,11.2607,31.9794,70.6117,2069.3502,146.5663,198.6925,67.4706,21.8038,230.2059,ba27831d-d20b-41e4-8dde-d69ea443450a
TCGA-IQ-A61O,57.1694,0.5022,2.3008,70.8415,0.2419,51.4942,1.5144,0.1976,10.8757,1.8008,15.5184,19.0996,3.0118,2.0608,25.3697,137.6303,30.417,183.2217,2.1787,31.3762,90.1572,2550.6277,173.8055,236.8253,38.2284,28.9442,49.2513,0671f907-5a87-4d69-b18b-353e123b04a0
TCGA-HL-7533,25.1286,3.1044,23.3498,172.2198,8.309,372.7193,67.2329,2.3174,125.3864,0.5514,43.6845,498.5667,4.5364,3.8259,985.7797,115.5208,620.2071,963.4239,10.5395,49.2311,259.6543,4943.3405,249.0985,387.269,182.9356,45.73,253.7565,a6d8ea07-b43b-491b-8acd-09f57c4b3a3b
TCGA-CV-6436,18.3677,1.5001,26.154,7.4091,6.8258,73.3808,60.7932,1.4264,5.9811,0.5267,24.2967,144.0112,1.8857,1.3859,661.8906,15.0495,5.125,166.2576,3.2108,4.4158,57.0413,1142.8896,48.572,100.0986,28.9051,5.6579,169.9246,51d9078e-4e0f-4f3e-979a-4f08695757b4
TCGA-CV-7254,73.6334,2.7133,9.6037,48.3466,7.0475,107.4959,13.4808,0.7245,46.5875,2.274,22.2057,122.3316,8.3778,6.5135,78.9046,112.5312,12.6737,1116.8288,6.4991,46.831,131.8867,3481.992,227.3491,267.0143,120.3561,39.9568,118.3339,74d18812-6caa-4398-8d31-e1cde3ac75d3
TCGA-DQ-7596,33.9261,1.5743,3.8464,67.0639,1.5167,82.9226,8.8307,0.7586,7.0976,0.8289,26.5594,52.203,5.8147,7.0184,120.9856,25.7835,2.3789,182.8953,8.9238,22.8144,44.5319,1485.0207,89.1691,142.4232,120.7439,16.7621,90.2099,a5d4f069-8642-4137-a4d0-a43d470221f2
TCGA-UF-A7JV,54.3069,1.1808,15.4137,330.3913,1.5998,173.6519,20.6728,1.1757,109.7598,12.7999,27.1207,44.185,15.2863,8.2291,452.7988,46.2563,48.4326,267.6355,3.3343,14.3828,63.6981,1881.2833,104.799,116.0764,74.3715,18.0465,61.3334,bccc2a89-933c-4a71-9912-d58c8181c7bb
